cluster,centroid_lat,centroid_lon,time,DN,all,drug,financial,low_level_property,low_level_violent,non_criminal,public_order,severe_property,severe_violent,sexual_offenses,weapon
0,41.74026795,-87.56607176,1,D,10999,98,606,1466,7,885,41,3603,3761,225,307
0,41.77323954,-87.66512974,1,N,12106,241,322,1808,4,705,66,3565,4279,298,818
1,41.70148379,-87.6330167,1,D,11266,162,675,1453,2,911,87,3515,3747,255,459
1,41.9710343,-87.67456463,1,N,14141,130,862,2167,19,628,72,6068,3735,311,149
2,41.70055811,-87.63169504,1,N,8808,98,284,1620,0,427,51,2835,2743,198,552
2,41.92252843,-87.75711049,1,D,16322,413,1515,1794,27,1358,80,5299,5190,333,313
3,41.78615494,-87.61152032,1,D,17391,208,1026,2237,5,1157,84,6226,5614,294,540
3,41.88269092,-87.64019246,1,N,18344,179,1116,2592,18,617,165,7836,4984,402,435
4,41.73929852,-87.56510948,1,N,8684,50,229,1491,0,493,29,2887,2785,191,529
4,41.78214764,-87.72589111,1,D,7733,53,960,947,10,609,31,2582,2220,151,170
5,41.91866057,-87.75121468,1,N,14350,307,514,1991,7,991,74,4670,4654,435,707
5,41.97335422,-87.67464541,1,D,17522,134,1979,1981,41,1009,77,7712,4208,287,94
6,41.87989339,-87.70654229,1,N,16928,546,514,2455,7,812,123,5063,6108,361,939
6,41.97501577,-87.85091579,1,D,1985,98,315,198,3,164,22,710,394,44,37
7,41.78367876,-87.61186758,1,N,14608,141,418,2295,10,781,87,4975,4761,290,850
7,41.88502496,-87.63889194,1,D,24962,319,2800,2549,31,1064,195,12488,4900,362,254
8,41.7827962,-87.72497602,1,N,7172,59,298,1163,9,384,70,2562,1980,197,450
8,41.88230962,-87.70787195,1,D,21287,1647,1348,2377,11,1288,167,6580,6863,421,585
9,41.77516085,-87.66517293,1,D,14130,316,849,1743,18,1100,96,4156,4994,290,568
9,41.96388224,-87.81645488,1,N,3152,33,247,460,4,260,31,1291,703,67,56