cluster,centroid_lat,centroid_lon,quarter,DN,CrimeGroup,count
0,41.88831654,-87.6419918,1,D,all,5782
1,41.69366871,-87.63593341,1,D,all,2287
2,41.80947388,-87.62012639,1,D,all,3267
3,41.93113596,-87.75249548,1,D,all,3361
4,41.78564752,-87.71492677,1,D,all,2643
5,41.74482471,-87.57538051,1,D,all,3689
6,41.97415577,-87.67542214,1,D,all,3902
7,41.97615585,-87.8488224,1,D,all,561
8,41.87772547,-87.71678345,1,D,all,5142
9,41.75916469,-87.64729672,1,D,all,3520
0,41.87785776,-87.72118243,1,N,all,3846
1,41.80865951,-87.62097869,1,N,all,2298
2,41.88819094,-87.64542273,1,N,all,4215
3,41.93511638,-87.75068229,1,N,all,2688
4,41.74529154,-87.57713033,1,N,all,2936
5,41.78622527,-87.71655597,1,N,all,2024
6,41.69408674,-87.63524321,1,N,all,1856
7,41.97335413,-87.67467534,1,N,all,2930
8,41.97358205,-87.8368497,1,N,all,469
9,41.76016299,-87.64906645,1,N,all,2668
0,41.80786894,-87.61471983,2,D,all,3223
1,41.91676766,-87.752421,2,D,all,3891
2,41.88755325,-87.64003962,2,D,all,5798
3,41.7659316,-87.65029601,2,D,all,3830
4,41.97206748,-87.67609239,2,D,all,4556
5,41.69560152,-87.63675088,2,D,all,2576
6,41.97279894,-87.82246217,2,D,all,820
7,41.7428194,-87.57483807,2,D,all,3679
8,41.87641297,-87.70813456,2,D,all,4889
9,41.7857104,-87.7172756,2,D,all,2464
0,41.78670533,-87.71329017,2,N,all,2348
1,41.88962885,-87.64438368,2,N,all,4303
2,41.759704,-87.64653243,2,N,all,3070
3,41.96087586,-87.79803283,2,N,all,1284
4,41.97191579,-87.67637343,2,N,all,3593
5,41.91052903,-87.74455662,2,N,all,3530
6,41.80985044,-87.62169286,2,N,all,2999
7,41.74337052,-87.5760246,2,N,all,3036
8,41.86945317,-87.70865747,2,N,all,3616
9,41.69427139,-87.63649063,2,N,all,1986
0,41.97410769,-87.67349848,3,D,all,4672
1,41.73911876,-87.56537566,3,D,all,2711
2,41.88490744,-87.63858786,3,D,all,6695
3,41.7721772,-87.66416522,3,D,all,3746
4,41.97390928,-87.85625964,3,D,all,441
5,41.69902501,-87.63179412,3,D,all,2690
6,41.78447228,-87.72538235,3,D,all,1991
7,41.92348046,-87.7581027,3,D,all,4114
8,41.88367038,-87.7075919,3,D,all,5638
9,41.78687049,-87.6105281,3,D,all,4567
0,41.7378092,-87.56464747,3,N,all,2317
1,41.77484292,-87.66683,3,N,all,3498
2,41.78410276,-87.72746305,3,N,all,1941
3,41.96049449,-87.80725211,3,N,all,1051
4,41.87988087,-87.70573543,3,N,all,4745
5,41.8819243,-87.63908583,3,N,all,5304
6,41.96955026,-87.67307505,3,N,all,4090
7,41.78503221,-87.61153058,3,N,all,4153
8,41.91698826,-87.74896502,3,N,all,3861
9,41.70222909,-87.63123676,3,N,all,2484
0,41.77579425,-87.66439833,4,D,all,3510
1,41.97220379,-87.83815019,4,D,all,633
2,41.70194991,-87.63262764,4,D,all,2762
3,41.88264999,-87.70733097,4,D,all,5421
4,41.73897681,-87.56627825,4,D,all,2680
5,41.97379128,-87.6749041,4,D,all,4523
6,41.784803,-87.61103552,4,D,all,4270
7,41.8854957,-87.63893541,4,D,all,6413
8,41.92230484,-87.75544849,4,D,all,4201
9,41.78186609,-87.72274334,4,D,all,2039
0,41.69970248,-87.63219862,4,N,all,2047
1,41.91971603,-87.75026244,4,N,all,3623
2,41.88276025,-87.64040138,4,N,all,4560
3,41.78163753,-87.61243267,4,N,all,3599
4,41.78278419,-87.72384113,4,N,all,1802
5,41.73836867,-87.56460272,4,N,all,2171
6,41.97298032,-87.67536234,4,N,all,3425
7,41.88110388,-87.7054244,4,N,all,4217
8,41.77399531,-87.66664694,4,N,all,2902
9,41.96353306,-87.81606885,4,N,all,808
0,41.88831654,-87.6419918,1,D,sexual_offenses,72
1,41.69366871,-87.63593341,1,D,sexual_offenses,61
2,41.80947388,-87.62012639,1,D,sexual_offenses,59
3,41.93113596,-87.75249548,1,D,sexual_offenses,64
4,41.78564752,-87.71492677,1,D,sexual_offenses,55
5,41.74482471,-87.57538051,1,D,sexual_offenses,78
6,41.97415577,-87.67542214,1,D,sexual_offenses,70
7,41.97615585,-87.8488224,1,D,sexual_offenses,18
8,41.87772547,-87.71678345,1,D,sexual_offenses,99
9,41.75916469,-87.64729672,1,D,sexual_offenses,57
0,41.87785776,-87.72118243,1,N,sexual_offenses,153
1,41.80865951,-87.62097869,1,N,sexual_offenses,51
2,41.88819094,-87.64542273,1,N,sexual_offenses,89
3,41.93511638,-87.75068229,1,N,sexual_offenses,72
4,41.74529154,-87.57713033,1,N,sexual_offenses,62
5,41.78622527,-87.71655597,1,N,sexual_offenses,59
6,41.69408674,-87.63524321,1,N,sexual_offenses,51
7,41.97335413,-87.67467534,1,N,sexual_offenses,64
8,41.97358205,-87.8368497,1,N,sexual_offenses,11
9,41.76016299,-87.64906645,1,N,sexual_offenses,51
0,41.80786894,-87.61471983,2,D,sexual_offenses,45
1,41.91676766,-87.752421,2,D,sexual_offenses,87
2,41.88755325,-87.64003962,2,D,sexual_offenses,74
3,41.7659316,-87.65029601,2,D,sexual_offenses,73
4,41.97206748,-87.67609239,2,D,sexual_offenses,82
5,41.69560152,-87.63675088,2,D,sexual_offenses,57
6,41.97279894,-87.82246217,2,D,sexual_offenses,20
7,41.7428194,-87.57483807,2,D,sexual_offenses,76
8,41.87641297,-87.70813456,2,D,sexual_offenses,113
9,41.7857104,-87.7172756,2,D,sexual_offenses,47
0,41.78670533,-87.71329017,2,N,sexual_offenses,51
1,41.88962885,-87.64438368,2,N,sexual_offenses,101
2,41.759704,-87.64653243,2,N,sexual_offenses,58
3,41.96087586,-87.79803283,2,N,sexual_offenses,30
4,41.97191579,-87.67637343,2,N,sexual_offenses,92
5,41.91052903,-87.74455662,2,N,sexual_offenses,81
6,41.80985044,-87.62169286,2,N,sexual_offenses,62
7,41.74337052,-87.5760246,2,N,sexual_offenses,82
8,41.86945317,-87.70865747,2,N,sexual_offenses,83
9,41.69427139,-87.63649063,2,N,sexual_offenses,44
0,41.97410769,-87.67349848,3,D,sexual_offenses,77
1,41.73911876,-87.56537566,3,D,sexual_offenses,49
2,41.88490744,-87.63858786,3,D,sexual_offenses,107
3,41.7721772,-87.66416522,3,D,sexual_offenses,72
4,41.97390928,-87.85625964,3,D,sexual_offenses,8
5,41.69902501,-87.63179412,3,D,sexual_offenses,66
6,41.78447228,-87.72538235,3,D,sexual_offenses,50
7,41.92348046,-87.7581027,3,D,sexual_offenses,90
8,41.88367038,-87.7075919,3,D,sexual_offenses,114
9,41.78687049,-87.6105281,3,D,sexual_offenses,93
0,41.7378092,-87.56464747,3,N,sexual_offenses,46
1,41.77484292,-87.66683,3,N,sexual_offenses,93
2,41.78410276,-87.72746305,3,N,sexual_offenses,68
3,41.96049449,-87.80725211,3,N,sexual_offenses,22
4,41.87988087,-87.70573543,3,N,sexual_offenses,105
5,41.8819243,-87.63908583,3,N,sexual_offenses,113
6,41.96955026,-87.67307505,3,N,sexual_offenses,92
7,41.78503221,-87.61153058,3,N,sexual_offenses,74
8,41.91698826,-87.74896502,3,N,sexual_offenses,116
9,41.70222909,-87.63123676,3,N,sexual_offenses,56
0,41.77579425,-87.66439833,4,D,sexual_offenses,66
1,41.97220379,-87.83815019,4,D,sexual_offenses,8
2,41.70194991,-87.63262764,4,D,sexual_offenses,63
3,41.88264999,-87.70733097,4,D,sexual_offenses,85
4,41.73897681,-87.56627825,4,D,sexual_offenses,64
5,41.97379128,-87.6749041,4,D,sexual_offenses,61
6,41.784803,-87.61103552,4,D,sexual_offenses,70
7,41.8854957,-87.63893541,4,D,sexual_offenses,101
8,41.92230484,-87.75544849,4,D,sexual_offenses,79
9,41.78186609,-87.72274334,4,D,sexual_offenses,32
0,41.69970248,-87.63219862,4,N,sexual_offenses,43
1,41.91971603,-87.75026244,4,N,sexual_offenses,64
2,41.88276025,-87.64040138,4,N,sexual_offenses,107
3,41.78163753,-87.61243267,4,N,sexual_offenses,90
4,41.78278419,-87.72384113,4,N,sexual_offenses,44
5,41.73836867,-87.56460272,4,N,sexual_offenses,40
6,41.97298032,-87.67536234,4,N,sexual_offenses,63
7,41.88110388,-87.7054244,4,N,sexual_offenses,87
8,41.77399531,-87.66664694,4,N,sexual_offenses,63
9,41.96353306,-87.81606885,4,N,sexual_offenses,17
0,41.88831654,-87.6419918,1,D,severe_property,2808
1,41.69366871,-87.63593341,1,D,severe_property,758
2,41.80947388,-87.62012639,1,D,severe_property,1256
3,41.93113596,-87.75249548,1,D,severe_property,1176
4,41.78564752,-87.71492677,1,D,severe_property,859
5,41.74482471,-87.57538051,1,D,severe_property,1277
6,41.97415577,-87.67542214,1,D,severe_property,1672
7,41.97615585,-87.8488224,1,D,severe_property,185
8,41.87772547,-87.71678345,1,D,severe_property,1483
9,41.75916469,-87.64729672,1,D,severe_property,1128
0,41.87785776,-87.72118243,1,N,severe_property,1039
1,41.80865951,-87.62097869,1,N,severe_property,818
2,41.88819094,-87.64542273,1,N,severe_property,1819
3,41.93511638,-87.75068229,1,N,severe_property,954
4,41.74529154,-87.57713033,1,N,severe_property,974
5,41.78622527,-87.71655597,1,N,severe_property,707
6,41.69408674,-87.63524321,1,N,severe_property,660
7,41.97335413,-87.67467534,1,N,severe_property,1214
8,41.97358205,-87.8368497,1,N,severe_property,164
9,41.76016299,-87.64906645,1,N,severe_property,843
0,41.80786894,-87.61471983,2,D,severe_property,1226
1,41.91676766,-87.752421,2,D,severe_property,1285
2,41.88755325,-87.64003962,2,D,severe_property,2952
3,41.7659316,-87.65029601,2,D,severe_property,1098
4,41.97206748,-87.67609239,2,D,severe_property,1975
5,41.69560152,-87.63675088,2,D,severe_property,779
6,41.97279894,-87.82246217,2,D,severe_property,297
7,41.7428194,-87.57483807,2,D,severe_property,1133
8,41.87641297,-87.70813456,2,D,severe_property,1532
9,41.7857104,-87.7172756,2,D,severe_property,771
0,41.78670533,-87.71329017,2,N,severe_property,766
1,41.88962885,-87.64438368,2,N,severe_property,1850
2,41.759704,-87.64653243,2,N,severe_property,920
3,41.96087586,-87.79803283,2,N,severe_property,546
4,41.97191579,-87.67637343,2,N,severe_property,1515
5,41.91052903,-87.74455662,2,N,severe_property,1121
6,41.80985044,-87.62169286,2,N,severe_property,1058
7,41.74337052,-87.5760246,2,N,severe_property,946
8,41.86945317,-87.70865747,2,N,severe_property,1005
9,41.69427139,-87.63649063,2,N,severe_property,645
0,41.97410769,-87.67349848,3,D,severe_property,2034
1,41.73911876,-87.56537566,3,D,severe_property,822
2,41.88490744,-87.63858786,3,D,severe_property,3430
3,41.7721772,-87.66416522,3,D,severe_property,1021
4,41.97390928,-87.85625964,3,D,severe_property,148
5,41.69902501,-87.63179412,3,D,severe_property,752
6,41.78447228,-87.72538235,3,D,severe_property,642
7,41.92348046,-87.7581027,3,D,severe_property,1326
8,41.88367038,-87.7075919,3,D,severe_property,1737
9,41.78687049,-87.6105281,3,D,severe_property,1626
0,41.7378092,-87.56464747,3,N,severe_property,748
1,41.77484292,-87.66683,3,N,severe_property,999
2,41.78410276,-87.72746305,3,N,severe_property,694
3,41.96049449,-87.80725211,3,N,severe_property,445
4,41.87988087,-87.70573543,3,N,severe_property,1359
5,41.8819243,-87.63908583,3,N,severe_property,2267
6,41.96955026,-87.67307505,3,N,severe_property,1712
7,41.78503221,-87.61153058,3,N,severe_property,1445
8,41.91698826,-87.74896502,3,N,severe_property,1211
9,41.70222909,-87.63123676,3,N,severe_property,782
0,41.77579425,-87.66439833,4,D,severe_property,1067
1,41.97220379,-87.83815019,4,D,severe_property,228
2,41.70194991,-87.63262764,4,D,severe_property,892
3,41.88264999,-87.70733097,4,D,severe_property,1585
4,41.73897681,-87.56627825,4,D,severe_property,942
5,41.97379128,-87.6749041,4,D,severe_property,2078
6,41.784803,-87.61103552,4,D,severe_property,1556
7,41.8854957,-87.63893541,4,D,severe_property,3227
8,41.92230484,-87.75544849,4,D,severe_property,1391
9,41.78186609,-87.72274334,4,D,severe_property,717
0,41.69970248,-87.63219862,4,N,severe_property,626
1,41.91971603,-87.75026244,4,N,severe_property,1244
2,41.88276025,-87.64040138,4,N,severe_property,1981
3,41.78163753,-87.61243267,4,N,severe_property,1178
4,41.78278419,-87.72384113,4,N,severe_property,645
5,41.73836867,-87.56460272,4,N,severe_property,772
6,41.97298032,-87.67536234,4,N,severe_property,1562
7,41.88110388,-87.7054244,4,N,severe_property,1275
8,41.77399531,-87.66664694,4,N,severe_property,907
9,41.96353306,-87.81606885,4,N,severe_property,336
0,41.88831654,-87.6419918,1,D,financial,690
1,41.69366871,-87.63593341,1,D,financial,150
2,41.80947388,-87.62012639,1,D,financial,248
3,41.93113596,-87.75249548,1,D,financial,395
4,41.78564752,-87.71492677,1,D,financial,353
5,41.74482471,-87.57538051,1,D,financial,188
6,41.97415577,-87.67542214,1,D,financial,483
7,41.97615585,-87.8488224,1,D,financial,83
8,41.87772547,-87.71678345,1,D,financial,320
9,41.75916469,-87.64729672,1,D,financial,199
0,41.87785776,-87.72118243,1,N,financial,135
1,41.80865951,-87.62097869,1,N,financial,75
2,41.88819094,-87.64542273,1,N,financial,315
3,41.93511638,-87.75068229,1,N,financial,153
4,41.74529154,-87.57713033,1,N,financial,88
5,41.78622527,-87.71655597,1,N,financial,87
6,41.69408674,-87.63524321,1,N,financial,71
7,41.97335413,-87.67467534,1,N,financial,212
8,41.97358205,-87.8368497,1,N,financial,42
9,41.76016299,-87.64906645,1,N,financial,74
0,41.80786894,-87.61471983,2,D,financial,235
1,41.91676766,-87.752421,2,D,financial,320
2,41.88755325,-87.64003962,2,D,financial,681
3,41.7659316,-87.65029601,2,D,financial,213
4,41.97206748,-87.67609239,2,D,financial,551
5,41.69560152,-87.63675088,2,D,financial,180
6,41.97279894,-87.82246217,2,D,financial,122
7,41.7428194,-87.57483807,2,D,financial,210
8,41.87641297,-87.70813456,2,D,financial,310
9,41.7857104,-87.7172756,2,D,financial,288
0,41.78670533,-87.71329017,2,N,financial,97
1,41.88962885,-87.64438368,2,N,financial,268
2,41.759704,-87.64653243,2,N,financial,82
3,41.96087586,-87.79803283,2,N,financial,76
4,41.97191579,-87.67637343,2,N,financial,218
5,41.91052903,-87.74455662,2,N,financial,112
6,41.80985044,-87.62169286,2,N,financial,111
7,41.74337052,-87.5760246,2,N,financial,71
8,41.86945317,-87.70865747,2,N,financial,89
9,41.69427139,-87.63649063,2,N,financial,68
0,41.97410769,-87.67349848,3,D,financial,577
1,41.73911876,-87.56537566,3,D,financial,149
2,41.88490744,-87.63858786,3,D,financial,706
3,41.7721772,-87.66416522,3,D,financial,212
4,41.97390928,-87.85625964,3,D,financial,56
5,41.69902501,-87.63179412,3,D,financial,143
6,41.78447228,-87.72538235,3,D,financial,217
7,41.92348046,-87.7581027,3,D,financial,379
8,41.88367038,-87.7075919,3,D,financial,374
9,41.78687049,-87.6105281,3,D,financial,249
0,41.7378092,-87.56464747,3,N,financial,52
1,41.77484292,-87.66683,3,N,financial,82
2,41.78410276,-87.72746305,3,N,financial,77
3,41.96049449,-87.80725211,3,N,financial,71
4,41.87988087,-87.70573543,3,N,financial,138
5,41.8819243,-87.63908583,3,N,financial,276
6,41.96955026,-87.67307505,3,N,financial,247
7,41.78503221,-87.61153058,3,N,financial,115
8,41.91698826,-87.74896502,3,N,financial,129
9,41.70222909,-87.63123676,3,N,financial,68
0,41.77579425,-87.66439833,4,D,financial,202
1,41.97220379,-87.83815019,4,D,financial,125
2,41.70194991,-87.63262764,4,D,financial,172
3,41.88264999,-87.70733097,4,D,financial,285
4,41.73897681,-87.56627825,4,D,financial,148
5,41.97379128,-87.6749041,4,D,financial,395
6,41.784803,-87.61103552,4,D,financial,228
7,41.8854957,-87.63893541,4,D,financial,697
8,41.92230484,-87.75544849,4,D,financial,335
9,41.78186609,-87.72274334,4,D,financial,205
0,41.69970248,-87.63219862,4,N,financial,67
1,41.91971603,-87.75026244,4,N,financial,100
2,41.88276025,-87.64040138,4,N,financial,254
3,41.78163753,-87.61243267,4,N,financial,103
4,41.78278419,-87.72384113,4,N,financial,65
5,41.73836867,-87.56460272,4,N,financial,55
6,41.97298032,-87.67536234,4,N,financial,191
7,41.88110388,-87.7054244,4,N,financial,124
8,41.77399531,-87.66664694,4,N,financial,74
9,41.96353306,-87.81606885,4,N,financial,72
0,41.88831654,-87.6419918,1,D,non_criminal,245
1,41.69366871,-87.63593341,1,D,non_criminal,176
2,41.80947388,-87.62012639,1,D,non_criminal,245
3,41.93113596,-87.75249548,1,D,non_criminal,320
4,41.78564752,-87.71492677,1,D,non_criminal,199
5,41.74482471,-87.57538051,1,D,non_criminal,267
6,41.97415577,-87.67542214,1,D,non_criminal,240
7,41.97615585,-87.8488224,1,D,non_criminal,43
8,41.87772547,-87.71678345,1,D,non_criminal,342
9,41.75916469,-87.64729672,1,D,non_criminal,273
0,41.87785776,-87.72118243,1,N,non_criminal,217
1,41.80865951,-87.62097869,1,N,non_criminal,136
2,41.88819094,-87.64542273,1,N,non_criminal,174
3,41.93511638,-87.75068229,1,N,non_criminal,240
4,41.74529154,-87.57713033,1,N,non_criminal,182
5,41.78622527,-87.71655597,1,N,non_criminal,129
6,41.69408674,-87.63524321,1,N,non_criminal,91
7,41.97335413,-87.67467534,1,N,non_criminal,148
8,41.97358205,-87.8368497,1,N,non_criminal,48
9,41.76016299,-87.64906645,1,N,non_criminal,169
0,41.80786894,-87.61471983,2,D,non_criminal,203
1,41.91676766,-87.752421,2,D,non_criminal,303
2,41.88755325,-87.64003962,2,D,non_criminal,250
3,41.7659316,-87.65029601,2,D,non_criminal,283
4,41.97206748,-87.67609239,2,D,non_criminal,253
5,41.69560152,-87.63675088,2,D,non_criminal,227
6,41.97279894,-87.82246217,2,D,non_criminal,82
7,41.7428194,-87.57483807,2,D,non_criminal,302
8,41.87641297,-87.70813456,2,D,non_criminal,266
9,41.7857104,-87.7172756,2,D,non_criminal,195
0,41.78670533,-87.71329017,2,N,non_criminal,141
1,41.88962885,-87.64438368,2,N,non_criminal,144
2,41.759704,-87.64653243,2,N,non_criminal,152
3,41.96087586,-87.79803283,2,N,non_criminal,97
4,41.97191579,-87.67637343,2,N,non_criminal,169
5,41.91052903,-87.74455662,2,N,non_criminal,213
6,41.80985044,-87.62169286,2,N,non_criminal,144
7,41.74337052,-87.5760246,2,N,non_criminal,162
8,41.86945317,-87.70865747,2,N,non_criminal,172
9,41.69427139,-87.63649063,2,N,non_criminal,91
0,41.97410769,-87.67349848,3,D,non_criminal,246
1,41.73911876,-87.56537566,3,D,non_criminal,243
2,41.88490744,-87.63858786,3,D,non_criminal,256
3,41.7721772,-87.66416522,3,D,non_criminal,312
4,41.97390928,-87.85625964,3,D,non_criminal,40
5,41.69902501,-87.63179412,3,D,non_criminal,233
6,41.78447228,-87.72538235,3,D,non_criminal,160
7,41.92348046,-87.7581027,3,D,non_criminal,303
8,41.88367038,-87.7075919,3,D,non_criminal,301
9,41.78687049,-87.6105281,3,D,non_criminal,322
0,41.7378092,-87.56464747,3,N,non_criminal,143
1,41.77484292,-87.66683,3,N,non_criminal,168
2,41.78410276,-87.72746305,3,N,non_criminal,92
3,41.96049449,-87.80725211,3,N,non_criminal,83
4,41.87988087,-87.70573543,3,N,non_criminal,199
5,41.8819243,-87.63908583,3,N,non_criminal,145
6,41.96955026,-87.67307505,3,N,non_criminal,167
7,41.78503221,-87.61153058,3,N,non_criminal,179
8,41.91698826,-87.74896502,3,N,non_criminal,232
9,41.70222909,-87.63123676,3,N,non_criminal,125
0,41.77579425,-87.66439833,4,D,non_criminal,254
1,41.97220379,-87.83815019,4,D,non_criminal,49
2,41.70194991,-87.63262764,4,D,non_criminal,213
3,41.88264999,-87.70733097,4,D,non_criminal,388
4,41.73897681,-87.56627825,4,D,non_criminal,188
5,41.97379128,-87.6749041,4,D,non_criminal,275
6,41.784803,-87.61103552,4,D,non_criminal,259
7,41.8854957,-87.63893541,4,D,non_criminal,271
8,41.92230484,-87.75544849,4,D,non_criminal,360
9,41.78186609,-87.72274334,4,D,non_criminal,158
0,41.69970248,-87.63219862,4,N,non_criminal,108
1,41.91971603,-87.75026244,4,N,non_criminal,264
2,41.88276025,-87.64040138,4,N,non_criminal,147
3,41.78163753,-87.61243267,4,N,non_criminal,227
4,41.78278419,-87.72384113,4,N,non_criminal,87
5,41.73836867,-87.56460272,4,N,non_criminal,115
6,41.97298032,-87.67536234,4,N,non_criminal,147
7,41.88110388,-87.7054244,4,N,non_criminal,204
8,41.77399531,-87.66664694,4,N,non_criminal,191
9,41.96353306,-87.81606885,4,N,non_criminal,56
0,41.88831654,-87.6419918,1,D,severe_violent,1135
1,41.69366871,-87.63593341,1,D,severe_violent,694
2,41.80947388,-87.62012639,1,D,severe_violent,939
3,41.93113596,-87.75249548,1,D,severe_violent,898
4,41.78564752,-87.71492677,1,D,severe_violent,740
5,41.74482471,-87.57538051,1,D,severe_violent,1192
6,41.97415577,-87.67542214,1,D,severe_violent,899
7,41.97615585,-87.8488224,1,D,severe_violent,118
8,41.87772547,-87.71678345,1,D,severe_violent,1632
9,41.75916469,-87.64729672,1,D,severe_violent,1192
0,41.87785776,-87.72118243,1,N,severe_violent,1309
1,41.80865951,-87.62097869,1,N,severe_violent,745
2,41.88819094,-87.64542273,1,N,severe_violent,1003
3,41.93511638,-87.75068229,1,N,severe_violent,703
4,41.74529154,-87.57713033,1,N,severe_violent,926
5,41.78622527,-87.71655597,1,N,severe_violent,547
6,41.69408674,-87.63524321,1,N,severe_violent,516
7,41.97335413,-87.67467534,1,N,severe_violent,734
8,41.97358205,-87.8368497,1,N,severe_violent,106
9,41.76016299,-87.64906645,1,N,severe_violent,868
0,41.80786894,-87.61471983,2,D,severe_violent,961
1,41.91676766,-87.752421,2,D,severe_violent,1268
2,41.88755325,-87.64003962,2,D,severe_violent,1130
3,41.7659316,-87.65029601,2,D,severe_violent,1400
4,41.97206748,-87.67609239,2,D,severe_violent,1091
5,41.69560152,-87.63675088,2,D,severe_violent,866
6,41.97279894,-87.82246217,2,D,severe_violent,174
7,41.7428194,-87.57483807,2,D,severe_violent,1307
8,41.87641297,-87.70813456,2,D,severe_violent,1596
9,41.7857104,-87.7172756,2,D,severe_violent,744
0,41.78670533,-87.71329017,2,N,severe_violent,729
1,41.88962885,-87.64438368,2,N,severe_violent,1153
2,41.759704,-87.64653243,2,N,severe_violent,1030
3,41.96087586,-87.79803283,2,N,severe_violent,290
4,41.97191579,-87.67637343,2,N,severe_violent,961
5,41.91052903,-87.74455662,2,N,severe_violent,1193
6,41.80985044,-87.62169286,2,N,severe_violent,933
7,41.74337052,-87.5760246,2,N,severe_violent,1037
