lat,lon,dn,cluster
41.644997,-87.54144,D,0
41.648678,-87.58004,D,0
41.71619,-87.59822,D,0
41.731743,-87.60231,D,0
41.731846,-87.60229,D,0
41.73542,-87.60148,D,0
41.73647,-87.601234,D,0
41.746807,-87.59646,D,0
41.769188,-87.58597,D,0
41.77106,-87.58502,D,0
41.779373,-87.57988,D,0
41.783337,-87.576294,D,0
41.756596,-87.54801,D,0
41.738083,-87.53136,D,0
41.72122,-87.52607,D,0
41.69305,-87.52465,D,0
41.651432,-87.52726,D,0
41.645287,-87.54001,D,0
41.64459,-87.61588,D,1
41.68425,-87.70133,D,1
41.685757,-87.70183,D,1
41.68599,-87.701836,D,1
41.68845,-87.70071,D,1
41.699966,-87.68964,D,1
41.713165,-87.67577,D,1
41.741043,-87.646194,D,1
41.75076,-87.63586,D,1
41.75077,-87.63501,D,1
41.748363,-87.63061,D,1
41.734207,-87.60477,D,1
41.733013,-87.6035,D,1
41.73085,-87.602516,D,1
41.725456,-87.60093,D,1
41.715767,-87.59821,D,1
41.660347,-87.58669,D,1
41.65616,-87.59051,D,1
41.64461,-87.60157,D,1
42.01505,-87.77833,D,2
41.996483,-87.730125,D,2
41.99272,-87.728874,D,2
41.9739,-87.72329,D,2
41.96105,-87.71962,D,2
41.95454,-87.717834,D,2
41.94917,-87.71646,D,2
41.94889,-87.71645,D,2
41.948795,-87.71645,D,2
41.942413,-87.7175,D,2
41.931858,-87.721375,D,2
41.927082,-87.72318,D,2
41.89797,-87.73419,D,2
41.878082,-87.741714,D,2
41.87413,-87.74321,D,2
41.869812,-87.74488,D,2
41.86582,-87.74995,D,2
41.86557,-87.766,D,2
41.865467,-87.77344,D,2
41.865467,-87.773544,D,2
41.865917,-87.77415,D,2
41.911163,-87.80584,D,2
41.91135,-87.80585,D,2
41.93451,-87.80706,D,2
41.93692,-87.80671,D,2
41.9463,-87.80458,D,2
41.97821,-87.79631,D,2
42.01199,-87.787224,D,2
41.751396,-87.63554,D,3
41.769405,-87.63726,D,3
41.82034,-87.64196,D,3
41.824535,-87.6423,D,3
41.825336,-87.641624,D,3
41.827827,-87.63777,D,3
41.83756,-87.6219,D,3
41.838387,-87.620316,D,3
41.840786,-87.61564,D,3
41.84304,-87.61019,D,3
41.84307,-87.60995,D,3
41.803806,-87.582085,D,3
41.803677,-87.58201,D,3
41.796207,-87.579124,D,3
41.7874,-87.57774,D,3
41.768425,-87.58639,D,3
41.761425,-87.58965,D,3
41.745888,-87.5969,D,3
41.73753,-87.601204,D,3
41.733932,-87.60327,D,3
41.73393,-87.6036,D,3
41.73393,-87.60372,D,3
41.734272,-87.60477,D,3
41.74144,-87.61789,D,3
41.75077,-87.63487,D,3
41.798138,-87.799706,D,4
41.838593,-87.73567,D,4
41.837753,-87.73167,D,4
41.835953,-87.72676,D,4
41.82282,-87.69325,D,4
41.760002,-87.69657,D,4
41.74542,-87.69739,D,4
41.697056,-87.70019,D,4
41.690575,-87.70079,D,4
41.688797,-87.70103,D,4
41.686573,-87.70219,D,4
41.680565,-87.70604,D,4
41.683876,-87.72549,D,4
41.690357,-87.739716,D,4
41.77525,-87.80082,D,4
41.789677,-87.80144,D,4
41.791397,-87.801506,D,4
41.7937,-87.80158,D,4
41.793823,-87.80158,D,4
41.796803,-87.8004,D,4
41.914764,-87.673904,D,5
41.915157,-87.67513,D,5
41.92415,-87.68654,D,5
41.94704,-87.71518,D,5
41.950867,-87.71651,D,5
41.96927,-87.72194,D,5
41.99452,-87.72889,D,5
41.99604,-87.728905,D,5
41.996212,-87.728905,D,5
42.0192,-87.70608,D,5
42.022537,-87.674805,D,5
42.022537,-87.67363,D,5
42.022522,-87.67102,D,5
42.022488,-87.666466,D,5
42.021736,-87.665405,D,5
41.96258,-87.63498,D,5
41.962414,-87.63491,D,5
41.96195,-87.63492,D,5
41.94375,-87.64049,D,5
41.941154,-87.64311,D,5
41.93678,-87.64811,D,5
41.927097,-87.65918,D,5
41.921608,-87.665474,D,5
41.916546,-87.67151,D,5
41.996235,-87.939735,D,6
42.00896,-87.906494,D,6
42.018818,-87.81314,D,6
42.01884,-87.812225,D,6
42.01893,-87.80813,D,6
42.017456,-87.806564,D,6
42.00014,-87.792305,D,6
41.9963,-87.79212,D,6
41.993713,-87.79238,D,6
41.93845,-87.80676,D,6
41.935326,-87.80788,D,6
41.93492,-87.81275,D,6
41.934834,-87.815186,D,6
41.937588,-87.83392,D,6
41.951855,-87.90827,D,6
41.952488,-87.91061,D,6
41.953785,-87.91511,D,6
41.961887,-87.922966,D,6
41.89333,-87.602516,D,7
41.844315,-87.61074,D,7
41.837658,-87.62191,D,7
41.826244,-87.64112,D,7
41.826176,-87.643555,D,7
41.82642,-87.64478,D,7
41.831562,-87.654335,D,7
41.83782,-87.66553,D,7
41.84981,-87.67243,D,7
41.851448,-87.67267,D,7
41.874096,-87.67313,D,7
41.912987,-87.67387,D,7
41.913162,-87.67387,D,7
41.914238,-87.67328,D,7
41.91486,-87.67268,D,7
41.91791,-87.66943,D,7
41.927097,-87.65907,D,7
41.935856,-87.64912,D,7
41.941154,-87.64306,D,7
41.942276,-87.64104,D,7
41.94266,-87.64013,D,7
41.940536,-87.63815,D,7
41.914867,-87.675125,D,8
41.912357,-87.67435,D,8
41.910538,-87.67414,D,8
41.9063,-87.67383,D,8
41.87409,-87.673485,D,8
41.847645,-87.67326,D,8
41.841133,-87.67543,D,8
41.833206,-87.681465,D,8
41.83053,-87.68446,D,8
41.824043,-87.69219,D,8
41.823734,-87.69297,D,8
41.823723,-87.693344,D,8
41.828686,-87.70772,D,8
41.834644,-87.72307,D,8
41.836838,-87.72852,D,8
41.8396,-87.73537,D,8
41.840424,-87.73593,D,8
41.865894,-87.745056,D,8
41.869015,-87.74485,D,8
41.87319,-87.7434,D,8
41.905533,-87.73131,D,8
41.93186,-87.72132,D,8
41.941643,-87.717476,D,8
41.944214,-87.715706,D,8
41.94423,-87.71264,D,8
41.943542,-87.71149,D,8
41.918983,-87.68014,D,8
41.691593,-87.6987,D,9
41.690975,-87.699585,D,9
41.691578,-87.700096,D,9
41.774937,-87.695724,D,9
41.820866,-87.69321,D,9
41.823505,-87.69218,D,9
41.83977,-87.67368,D,9
41.837055,-87.665726,D,9
41.833084,-87.658,D,9
41.828297,-87.649284,D,9
41.827354,-87.647644,D,9
41.824505,-87.64352,D,9
41.817196,-87.642105,D,9
41.809856,-87.64131,D,9
41.780785,-87.63839,D,9
41.774384,-87.63778,D,9
41.768497,-87.63723,D,9
41.75076,-87.63591,D,9
41.70269,-87.68691,D,9
41.836803,-87.67117,N,0
41.822853,-87.64347,N,0
41.81259,-87.64164,N,0
41.77258,-87.63797,N,0
41.750755,-87.63598,N,0
41.7494,-87.636696,N,0
41.748913,-87.63707,N,0
41.746353,-87.63908,N,0
41.733315,-87.652054,N,0
41.68685,-87.69943,N,0
41.68599,-87.701836,N,0
41.68601,-87.701836,N,0
41.78212,-87.694695,N,0
41.816933,-87.69202,N,0
41.820526,-87.6917,N,0
41.822247,-87.69095,N,0
41.831234,-87.68019,N,0
41.833023,-87.6778,N,0
41.996155,-87.728905,N,1
42.019176,-87.70716,N,1
42.02255,-87.67614,N,1
42.02255,-87.67589,N,1
42.02253,-87.66632,N,1
42.021698,-87.6654,N,1
42.021606,-87.66535,N,1
41.96165,-87.63508,N,1
41.94119,-87.640434,N,1
41.940086,-87.641685,N,1
41.93485,-87.64782,N,1
41.92899,-87.65483,N,1
41.92528,-87.6593,N,1
41.914223,-87.67267,N,1
41.913486,-87.673874,N,1
41.914898,-87.67634,N,1
41.918453,-87.68119,N,1
41.930767,-87.69758,N,1
41.932083,-87.699326,N,1
41.934547,-87.70259,N,1
41.939465,-87.70771,N,1
41.94524,-87.71267,N,1
41.94656,-87.71324,N,1
41.952496,-87.715324,N,1
41.965225,-87.71938,N,1
41.973816,-87.72206,N,1
41.99604,-87.728905,N,1
41.703354,-87.5942,N,2
41.659798,-87.588776,N,2
41.64461,-87.60159,N,2
41.64459,-87.61588,N,2
41.65837,-87.64649,N,2
41.677288,-87.682274,N,2
41.678616,-87.68442,N,2
41.68894,-87.69712,N,2
41.72983,-87.655594,N,2
41.73912,-87.64613,N,2
41.747086,-87.63732,N,2
41.748943,-87.63519,N,2
41.73301,-87.60406,N,2
41.731895,-87.60228,N,2
41.72819,-87.60098,N,2
41.935028,-87.63242,N,3
41.89222,-87.60468,N,3
41.86649,-87.60848,N,3
41.862843,-87.609215,N,3
41.862362,-87.60934,N,3
41.84007,-87.61562,N,3
41.83795,-87.61826,N,3
41.830967,-87.62971,N,3
41.825375,-87.63897,N,3
41.824368,-87.64108,N,3
41.82439,-87.642296,N,3
41.82454,-87.644745,N,3
41.830597,-87.65786,N,3
41.83372,-87.66438,N,3
41.83572,-87.66808,N,3
41.837605,-87.67056,N,3
41.850704,-87.672134,N,3
41.85406,-87.67231,N,3
41.854973,-87.672356,N,3
41.874096,-87.67313,N,3
41.903248,-87.67377,N,3
41.91176,-87.673836,N,3
41.913685,-87.67265,N,3
41.915024,-87.67147,N,3
41.927135,-87.65704,N,3
41.937717,-87.644325,N,3
41.94009,-87.641335,N,3
41.941067,-87.63939,N,3
41.940536,-87.63815,N,3
41.651432,-87.52726,N,4
41.645287,-87.54001,N,4
41.645798,-87.54247,N,4
41.649303,-87.55931,N,4
41.659195,-87.57986,N,4
41.719772,-87.59834,N,4
41.730793,-87.60091,N,4
41.744076,-87.596176,N,4
41.77152,-87.584015,N,4
41.773373,-87.58312,N,4
41.7783,-87.579384,N,4
41.781876,-87.575325,N,4
41.755283,-87.544304,N,4
41.72122,-87.52607,N,4
41.70177,-87.52453,N,4
41.70037,-87.52454,N,4
41.692863,-87.52465,N,4
42.00498,-87.76292,N,5
41.996483,-87.730125,N,5
41.969017,-87.72072,N,5
41.944,-87.71263,N,5
41.93973,-87.71252,N,5
41.90544,-87.72639,N,5
41.875103,-87.73869,N,5
41.865917,-87.74292,N,5
41.86557,-87.765976,N,5
41.8655,-87.77102,N,5
41.865467,-87.77344,N,5
41.865467,-87.773476,N,5
41.86646,-87.77416,N,5
41.909863,-87.792366,N,5
41.911396,-87.79242,N,5
41.91348,-87.79248,N,5
41.923645,-87.78941,N,5
41.931526,-87.78693,N,5
41.934986,-87.78582,N,5
41.960342,-87.77763,N,5
41.986538,-87.769135,N,5
42.004833,-87.76297,N,5
41.82167,-87.69188,N,6
41.83985,-87.73661,N,6
41.84407,-87.737656,N,6
41.868877,-87.74057,N,6
41.875103,-87.73853,N,6
41.884575,-87.73484,N,6
41.920902,-87.72009,N,6
41.939507,-87.71251,N,6
41.939316,-87.709145,N,6
41.938236,-87.70761,N,6
41.92263,-87.68679,N,6
41.91479,-87.67634,N,6
41.913586,-87.675095,N,6
41.91236,-87.67419,N,6
41.907757,-87.67391,N,6
41.904526,-87.67385,N,6
41.874092,-87.67335,N,6
41.859512,-87.673294,N,6
41.84802,-87.67327,N,6
41.83763,-87.673645,N,6
41.833355,-87.67782,N,6
41.8188,-87.64215,N,7
41.82259,-87.64228,N,7
41.824688,-87.63987,N,7
41.835697,-87.621864,N,7
41.839695,-87.61508,N,7
41.84196,-87.6101,N,7
41.84195,-87.60945,N,7
41.803806,-87.582085,N,7
41.796207,-87.579124,N,7
41.7874,-87.57774,N,7
41.77337,-87.58326,N,7
41.76727,-87.58595,N,7
41.748707,-87.59421,N,7
41.736717,-87.600044,N,7
41.732384,-87.602165,N,7
41.733013,-87.603615,N,7
41.73351,-87.604744,N,7
41.739304,-87.61622,N,7
41.746635,-87.630554,N,7
41.74814,-87.63302,N,7
41.749794,-87.635185,N,7
41.75076,-87.63591,N,7
41.77258,-87.63793,N,7
41.797043,-87.80041,N,8
41.837822,-87.735306,N,8
41.8378,-87.73167,N,8
41.82156,-87.69206,N,8
41.815575,-87.69228,N,8
41.794575,-87.69382,N,8
41.777267,-87.69511,N,8
41.697983,-87.70105,N,8
41.69156,-87.701584,N,8
41.686573,-87.70219,N,8
41.68144,-87.70594,N,8
41.68056,-87.7088,N,8
41.683876,-87.72549,N,8
41.77525,-87.80082,N,8
41.778675,-87.80097,N,8
41.789547,-87.80143,N,8
41.793663,-87.80158,N,8
41.793823,-87.80158,N,8
41.908916,-87.80311,N,9
41.95587,-87.931595,N,9
41.996235,-87.939735,N,9
42.006073,-87.92737,N,9
42.008938,-87.90706,N,9
42.01805,-87.81877,N,9
42.018925,-87.80833,N,9
42.01196,-87.77363,N,9
42.004593,-87.76377,N,9
42.00361,-87.76404,N,9
41.965847,-87.77594,N,9
41.93926,-87.78449,N,9
41.911644,-87.79365,N,9
41.909023,-87.79492,N,9
41.90895,-87.8005,N,9
